emg,gesture
-10;;-8;;-9;;-1;;-7;;-4;;;0;;;4;-10;;-8;;-9;;-1;;-7;;-4;;;0;;;4;-10;;-8;;-9;;-1;;-7;;-4;;;0;;;4;-10;;-8;;-9;;-1;;-7;;-4;;;0;;;4;-10;;-8;;-9;;-1;;-7;;-4;;;0;;;4;-10;;-8;;-9;;-1;;-7;;-4;;;0;;;4;-10;;-8;;-9;;-1;;-7;;-4;;;0;;;4;-10;;-8;;-9;;-1;;-7;;-4;;;0;;;4,1
;-4;-39;;;5;-11;-15;-19;;;0;;19;;-4;-39;;;5;-11;-15;-19;;;0;;19;;-4;-39;;;5;-11;-15;-19;;;0;;19;;-4;-39;;;5;-11;-15;-19;;;0;;19;;-4;-39;;;5;-11;-15;-19;;;0;;19;;-4;-39;;;5;-11;-15;-19;;;0;;19;;-4;-39;;;5;-11;-15;-19;;;0;;19;;-4;-39;;;5;-11;-15;-19;;;0;;19,1
;11;;54;;18;;;6;;12;;;7;;-3;-25;;11;;54;;18;;;6;;12;;;7;;-3;-25;;11;;54;;18;;;6;;12;;;7;;-3;-25;;11;;54;;18;;;6;;12;;;7;;-3;-25;;11;;54;;18;;;6;;12;;;7;;-3;-25;;11;;54;;18;;;6;;12;;;7;;-3;-25;;11;;54;;18;;;6;;12;;;7;;-3;-25;;11;;54;;18;;;6;;12;;;7;;-3;-25,1
;-1;-41;;-1;;;1;;;4;;;2;;-2;;10;;-1;-41;;-1;;;1;;;4;;;2;;-2;;10;;-1;-41;;-1;;;1;;;4;;;2;;-2;;10;;-1;-41;;-1;;;1;;;4;;;2;;-2;;10;;-1;-41;;-1;;;1;;;4;;;2;;-2;;10;;-1;-41;;-1;;;1;;;4;;;2;;-2;;10;;-1;-41;;-1;;;1;;;4;;;2;;-2;;10;;-1;-41;;-1;;;1;;;4;;;2;;-2;;10,1
;13;-12;-25;;-5;;-1;;;2;;;9;;12;;13;-12;-25;;-5;;-1;;;2;;;9;;12;;13;-12;-25;;-5;;-1;;;2;;;9;;12;;13;-12;-25;;-5;;-1;;;2;;;9;;12;;13;-12;-25;;-5;;-1;;;2;;;9;;12;;13;-12;-25;;-5;;-1;;;2;;;9;;12;;13;-12;-25;;-5;;-1;;;2;;;9;;12;;13;-12;-25;;-5;;-1;;;2;;;9;;12,1
;-5;;;1;;;1;;-3;-10;;-1;;-1;;-7;;-5;;;1;;;1;;-3;-10;;-1;;-1;;-7;;-5;;;1;;;1;;-3;-10;;-1;;-1;;-7;;-5;;;1;;;1;;-3;-10;;-1;;-1;;-7;;-5;;;1;;;1;;-3;-10;;-1;;-1;;-7;;-5;;;1;;;1;;-3;-10;;-1;;-1;;-7;;-5;;;1;;;1;;-3;-10;;-1;;-1;;-7;;-5;;;1;;;1;;-3;-10;;-1;;-1;;-7,1
;-7;;-5;;;8;;-4;-12;;-2;;;4;;-1;;-7;;-5;;;8;;-4;-12;;-2;;;4;;-1;;-7;;-5;;;8;;-4;-12;;-2;;;4;;-1;;-7;;-5;;;8;;-4;-12;;-2;;;4;;-1;;-7;;-5;;;8;;-4;-12;;-2;;;4;;-1;;-7;;-5;;;8;;-4;-12;;-2;;;4;;-1;;-7;;-5;;;8;;-4;-12;;-2;;;4;;-1;;-7;;-5;;;8;;-4;-12;;-2;;;4;;-1,1
15;21;-8;-2;-2;-3;;1;18;15;21;-8;-2;-2;-3;;1;18;15;21;-8;-2;-2;-3;;1;18;15;21;-8;-2;-2;-3;;1;18;15;21;-8;-2;-2;-3;;1;18;15;21;-8;-2;-2;-3;;1;18;15;21;-8;-2;-2;-3;;1;18;15;21;-8;-2;-2;-3;;1;18,1
-17;;17;;11;;;8;;;5;;-4;-10;;10;-17;;17;;11;;;8;;;5;;-4;-10;;10;-17;;17;;11;;;8;;;5;;-4;-10;;10;-17;;17;;11;;;8;;;5;;-4;-10;;10;-17;;17;;11;;;8;;;5;;-4;-10;;10;-17;;17;;11;;;8;;;5;;-4;-10;;10;-17;;17;;11;;;8;;;5;;-4;-10;;10;-17;;17;;11;;;8;;;5;;-4;-10;;10,1
;-3;;-2;;15;;;6;;;7;;18;;-2;-10;;-3;;-2;;15;;;6;;;7;;18;;-2;-10;;-3;;-2;;15;;;6;;;7;;18;;-2;-10;;-3;;-2;;15;;;6;;;7;;18;;-2;-10;;-3;;-2;;15;;;6;;;7;;18;;-2;-10;;-3;;-2;;15;;;6;;;7;;18;;-2;-10;;-3;;-2;;15;;;6;;;7;;18;;-2;-10;;-3;;-2;;15;;;6;;;7;;18;;-2;-10,1
